From	To
O60861	GAS7
O60869	EDF1
O60870	KIN
O60884	DNAJA2
O60885	BRD4
O60888	CUTA
O60906	SMPD2
O60907	TBL1X
O60921	HUS1
O60925	PFDN1
O60927	PPP1R11
O60930	RNASEH1
O60934	NBN
O60942	RNGTT
O75027	ABCB7
O75030	MITF
O75037	KIF21B
O75044	SRGAP2
O75063	FAM20B
O75064	DENND4B
O75081	CBFA2T3
O75083	WDR1
O75113	N4BP1
O75116	ROCK2
O75131	CPNE3
O75132	ZBED4
O75140	DEPDC5
O75143	ATG13
O75145	PPFIA3
O75146	HIP1R
O75150	RNF40
O75151	PHF2
O75152	ZC3H11A
O75153	CLUH
O75164	KDM4A
O75165	DNAJC13
O75170	PPP6R2
O75175	CNOT3
O75177	SS18L1
O75182	SIN3B
O75190	DNAJB6
O75204	TMEM127
O75208	COQ9
O75223	GGCT
O75251	NDUFS7
O75306	NDUFS2
O75312	ZPR1
O75317	USP12
O75319	DUSP11
O75323	NIPSNAP2
O75325	LRRN2
O75330	HMMR
O75340	PDCD6
O75348	ATP6V1G1
O75351	VPS4B
O75356	ENTPD5
O75362	ZNF217
O75367	MACROH2A1
O75368	SH3BGRL
O75369	FLNB
O75376	NCOR1
O75379	VAMP4
O75380	NDUFS6
O75381	PEX14
O75382	TRIM3
O75385	ULK1
O75390	CS
O75391	SPAG7
O75394	MRPL33
O75396	SEC22B
O75398	DEAF1
O75400	PRPF40A
O75410	TACC1
O75419	CDC45
O75420	GIGYF1
O75427	LRCH4
O75431	MTX2
O75436	VPS26A
O75438	NDUFB1
O75439	PMPCB
O75446	SAP30
O75449	KATNA1
O75460	ERN1
O75467	ZNF324
O75475	PSIP1
O75477	ERLIN1
O75489	NDUFS3
O75506	HSBP1
O75525	KHDRBS3
O75528	TADA3
O75529	TAF5L
O75530	EED
O75531	BANF1
O75533	SF3B1
O75534	CSDE1
O75554	WBP4
O75558	STX11
O75563	SKAP2
O75569	PRKRA
O75570	MTRF1
O75575	CRCP
O75582	RPS6KA5
O75592	MYCBP2
O75594	PGLYRP1
O75600	GCAT
O75607	NPM3
O75608	LYPLA1
O75616	ERAL1
O75629	CREG1
O75635	SERPINB7
O75643	SNRNP200
O75648	TRMU
O75663	TIPRL
O75665	OFD1
O75676	RPS6KA4
O75683	SURF6
O75688	PPM1B
O75689	ADAP1
O75691	UTP20
O75694	NUP155
O75695	RP2
O75716	STK16
O75717	WDHD1
O75718	CRTAP
O75746	SLC25A12
O75781	PALM
O75787	ATP6AP2
O75791	GRAP2
O75792	RNASEH2A
O75794	CDC123
O75808	CAPN15
O75818	RPP40
O75821	EIF3G
O75822	EIF3J
O75828	CBR3
O75832	PSMD10
O75843	AP1G2
O75844	ZMPSTE24
O75865	TRAPPC6A
O75874	IDH1
O75879	GATB
O75880	SCO1
O75881	CYP7B1
O75882	ATRN
O75884	RBBP9
O75886	STAM2
O75907	DGAT1
O75909	CCNK
O75911	DHRS3
O75915	ARL6IP5
O75923	DYSF
O75925	PIAS1
O75934	BCAS2
O75935	DCTN3
O75937	DNAJC8
O75940	SMNDC1
O75947	ATP5PD
O75955	FLOT1
O75962	TRIO
O75964	ATP5MG
O75976	CPD
O75995	SASH3
O76003	GLRX3
O76021	RSL1D1
O76031	CLPX
O76071	CIAO1
O76080	ZFAND5
O76094	SRP72
O76095	JTB
O76096	CST7
O77932	DXO
O94759	TRPM2
O94760	DDAH1
O94761	RECQL4
O94762	RECQL5
O94763	URI1
O94766	B3GAT3
O94768	STK17B
O94776	MTA2
O94804	STK10
O94806	PRKD3
O94811	TPPP
O94817	ATG12
O94819	KBTBD11
O94822	LTN1
